Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,KY,108.2,76.3,94.3,113.9,96.6,149.7
2,CH,106.8,50.6,82.3,111.9,100.3,177.8
3,IS,94.5,50.1,75.2,102.5,99.3,120.1
4,BS,85.4,47.1,68.7,88.7,89.6,62.8
5,SG,85.3,75.1,80.9,77.7,54.3,103.0
6,NO,78.9,28.2,56.8,81.1,82.4,129.9
7,DK,74.1,28.8,54.3,67.6,85.1,148.6
8,LU,73.5,48.0,62.4,73.4,75.9,176.0
9,HK,72.2,57.0,65.6,73.9,46.8,110.4
10,GG,70.2,52.5,62.5,72.4,65.7,147.4
11,IL,69.6,28.7,51.8,65.1,75.3,124.2
12,IM,68.6,31.6,52.5,60.9,81.6,123.7
13,NL,68.1,37.4,54.7,63.0,74.0,139.5
14,AT,67.6,25.0,49.1,68.6,63.6,118.9
15,IE,66.6,44.7,57.0,64.7,69.6,117.4
16,PG,65.6,33.4,51.6,53.3,33.6,15.7
17,US,64.8,41.3,54.6,71.3,65.5,157.2
18,DE,64.7,25.4,47.6,62.1,60.8,140.4
19,FI,64.5,21.1,45.6,64.9,67.0,139.5
20,FR,64.4,22.0,46.0,70.1,60.0,119.8
21,GB,64.2,32.9,50.6,59.3,67.0,127.4
22,BE,63.6,22.8,45.9,61.9,71.4,127.7
23,AU,63.0,32.1,49.5,71.1,58.3,143.8
24,SE,62.8,21.8,44.9,63.5,62.6,141.1
25,KR,62.4,17.7,42.9,80.7,35.0,119.6
26,CA,60.7,31.9,48.1,67.5,59.0,119.4
27,PR,59.8,20.6,42.7,64.8,51.3,119.6
28,NZ,59.3,26.1,44.9,65.6,56.7,136.3
29,IT,57.2,20.2,41.1,59.5,57.4,93.6
30,MO,56.0,28.5,44.0,64.9,39.8,93.4
31,EE,55.9,16.1,38.5,51.2,57.8,89.6
32,CY,55.2,26.7,42.8,51.8,55.6,87.8
33,AE,53.4,42.5,48.7,42.9,52.7,125.8
34,MT,53.1,26.9,41.7,53.0,58.0,83.6
35,UY,51.3,14.2,35.2,51.0,53.3,54.7
36,GR,51.0,12.8,34.4,48.6,53.9,65.3
37,SI,50.6,20.6,37.6,49.5,46.5,90.0
38,CR,50.3,18.9,36.6,56.5,45.1,55.1
39,JM,50.1,16.7,35.6,59.2,41.2,39.1
40,YE,50.1,5.9,30.8,63.2,34.5,20.4
41,TW,49.4,14.5,34.2,64.1,26.8,105.9
42,TT,49.4,13.7,33.9,53.8,42.8,51.2
43,LV,49.0,11.6,32.7,44.7,49.7,82.1
44,JP,48.9,15.4,34.3,59.3,30.1,126.4
45,HR,48.6,17.3,35.0,45.2,50.2,95.6
46,ES,48.6,23.5,37.7,47.9,48.9,107.2
47,LT,48.3,16.2,34.3,43.5,51.1,90.7
48,CZ,48.2,20.0,35.9,46.4,37.9,94.8
49,GY,46.9,19.8,35.1,59.0,48.2,61.9
50,QA,46.9,37.1,42.7,40.3,45.5,169.9
51,SK,46.7,15.9,33.3,47.9,38.0,81.3
52,CD,46.5,26.7,37.9,43.6,54.1,27.3
53,BH,46.1,21.1,35.2,43.8,43.8,125.0
54,BN,46.1,17.0,33.4,65.9,29.0,136.8
55,MV,46.0,23.1,36.1,49.3,36.7,58.1
56,PT,45.8,25.1,36.8,44.7,40.5,65.3
57,SN,45.0,19.7,34.0,43.3,38.9,23.7
58,AL,43.7,15.3,31.3,44.1,40.7,45.1
59,PL,43.7,18.4,32.7,38.6,42.2,100.4
60,PA,43.3,23.4,34.6,48.6,39.5,47.6
61,PS,43.0,9.0,28.2,44.9,33.1,52.2
62,CI,42.7,18.4,32.1,39.8,31.1,11.0
63,HU,42.3,13.6,29.8,40.3,39.4,79.5
64,BZ,42.3,10.2,28.3,47.5,33.8,78.0
65,BW,41.7,6.1,26.2,29.9,26.6,72.1
66,ET,41.6,16.6,30.7,44.4,22.2,13.2
67,SA,41.5,11.9,28.6,39.5,31.8,151.7
68,RS,40.9,13.8,29.1,38.1,39.8,63.8
69,AM,40.5,15.7,29.7,35.4,40.3,41.6
70,LB,40.5,13.7,28.8,33.5,39.2,39.3
71,KW,40.4,22.3,32.5,33.6,39.7,190.4
72,CU,40.1,11.8,27.8,40.0,24.4,2.7
73,ME,40.0,16.4,29.7,38.0,39.7,66.5
74,CM,39.6,18.7,30.5,36.5,45.7,10.7
75,BG,39.3,11.7,27.3,40.5,38.7,86.3
76,OM,39.3,12.3,27.5,37.8,37.9,167.0
77,AR,38.3,11.5,26.6,38.6,43.1,48.3
78,RO,38.3,11.3,26.6,37.4,39.7,79.9
79,TR,38.2,14.6,27.9,38.2,34.7,58.8
80,GT,37.9,15.3,28.0,42.6,34.6,37.8
81,MX,37.6,15.5,28.0,41.8,37.4,51.1
82,SV,37.6,16.1,28.2,42.3,30.3,35.0
83,MU,37.0,10.5,25.5,40.1,30.5,55.9
84,JO,36.7,7.9,24.2,34.6,34.3,56.4
85,RU,36.1,14.1,26.5,35.2,34.4,62.6
86,CL,35.8,11.3,25.1,38.9,34.3,56.7
87,BA,35.7,7.3,23.4,36.7,28.2,67.3
88,MZ,35.7,13.0,25.8,32.0,31.1,34.6
89,VE,35.6,6.2,22.8,39.0,37.1,18.6
