Series Name,Series Code,Country Name,Country Code,2023 [YR2023],2024 [YR2024]
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Afghanistan,AFG,0.187924599,..
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Albania,ALB,0.403351501,0.426244495
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Algeria,DZA,0.318822658,0.320814243
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,American Samoa,ASM,..,..
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Andorra,AND,0.652614137,0.657913251
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Angola,AGO,0.287012125,0.254204084
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Antigua and Barbuda,ATG,0.68016947,0.706075246
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Argentina,ARG,0.471622203,0.459252952
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Armenia,ARM,0.377322487,0.372454908
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Aruba,ABW,0.755766012,..
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Australia,AUS,0.919482696,0.904685699
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Austria,AUT,0.795041684,0.793561312
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Azerbaijan,AZE,0.301587569,0.290320463
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,"Bahamas, The",BHS,0.978040717,0.95770486
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Bahrain,BHR,0.4564381,0.447072989
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Bangladesh,BGD,0.278867488,0.268837768
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Barbados,BRB,1.115665974,1.118818569
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Belarus,BLR,0.256103926,0.251970635
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Belgium,BEL,0.791930874,0.775789707
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Belize,BLZ,0.539663011,0.558523951
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Benin,BEN,0.337576098,0.334955165
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Bermuda,BMU,1.159412979,1.160512875
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Bhutan,BTN,0.236213735,..
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Bolivia,BOL,0.337408497,0.357576487
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Bosnia and Herzegovina,BIH,0.384871352,0.407689791
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Botswana,BWA,0.372468843,0.374680719
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Brazil,BRA,0.490072542,0.460310991
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,British Virgin Islands,VGB,..,..
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Brunei Darussalam,BRN,0.386799285,0.371280089
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Bulgaria,BGR,0.423550012,0.423802777
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Burkina Faso,BFA,0.320428902,0.340903828
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Burundi,BDI,0.208867691,0.162060022
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Cabo Verde,CPV,0.47194988,0.468208126
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Cambodia,KHM,0.326986481,0.329724164
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Cameroon,CMR,0.321309208,0.315187246
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Canada,CAN,0.841108773,0.829209407
