country code,inflation
AFG,-6.601185641
ALB,2.214489533
DZA,4.046114553
AGO,28.24049489
ATG,6.198866988
ARM,0.269511978
AUS,3.161614283
AUT,2.937915743
AZE,2.212171889
BHS,0.409162489
BHR,0.91963546
BGD,10.46574828
BRB,-0.462229168
BLR,5.785319104
BEL,3.143491365
BLZ,3.28955986
BEN,1.160930896
BTN,2.761315696
BOL,5.099765683
BIH,1.692127336
BWA,2.818351317
BRA,4.367464077
BRN,-0.388674165
BGR,2.44651943
BFA,4.191134464
BDI,20.2124925
CPV,1.048170011
KHM,2.127467966
CMR,4.530612673
CAN,2.381583833
CAF,2.979138526
TCD,8.899507323
CHL,4.297638916
CHN,0.218128938
COL,6.609085937
COG,3.091436309
CRI,-0.413459342
CIV,3.466373147
HRV,2.972004776
CYP,1.800230186
CZE,2.435312024
DNK,1.372200498
DJI,2.07655388
DMA,2.589738691
DOM,3.30223339
ECU,1.547325156
EGY,28.27058993
SLV,0.853782293
EST,3.520560533
ETH,21.03774606
FJI,4.511382565
FIN,1.565689062
FRA,1.999049423
GAB,1.173119984
GMB,11.56375462
GEO,1.10971758
DEU,2.256498143
GHA,22.84832812
GRC,2.741490458
GRD,1.086153651
GTM,2.869927529
GIN,8.123139149
GNB,3.765558258
GUY,2.903952264
HTI,26.94905641
HND,4.606210981
HKG,1.729721191
HUN,3.703703704
ISL,5.8568385
IND,4.95303551
IDN,3.670131424
IRN,32.4558714
IRQ,4.358353511
IRL,2.113449996
ISR,3.057106054
ITA,0.982373023
JAM,5.41194448
JPN,2.738536816
JOR,1.556596113
KAZ,8.839438975
KEN,4.489788542
KIR,9.283073745
KOR,2.321743286
XKX,1.619449946
KWT,2.898550725
KGZ,10.75327704
LAO,23.13056959
LVA,1.265798858
LBN,45.24304227
LSO,6.105446242
LBR,10.09445357
LBY,2.126157669
LTU,0.715735835
LUX,2.0511327
MAC,0.476384496
MDG,9.87432675
MWI,32.17965042
MYS,1.834100204
MDV,1.399797797
MLI,3.206398641
MLT,1.650794693
MRT,2.491643475
MUS,3.582367427
MEX,4.722255885
MDA,4.67773516
MNG,6.802848993
MNE,3.336750093
MAR,0.985256592
MOZ,4.078568348
NAM,4.239039229
NPL,7.114759517
NLD,3.347543042
NZL,2.922797823
NIC,4.624738411
NER,9.071519977
NGA,33.24209665
MKD,3.48974086
NOR,3.145301344
OMN,0.950782998
PAK,12.63253185
PLW,2.231727729
PAN,0.693225551
PNG,0.602403921
PRY,3.835402717
PER,2.007707394
PHL,3.21260487
POL,3.790608976
PRT,2.416131878
QAT,1.267343103
ROU,5.721405744
RWA,1.770292402
WSM,2.172455305
SMR,1.242165079
STP,14.35192736
SAU,1.687921124
SEN,0.804503299
SRB,4.670529749
SYC,0.311726051
SLE,28.63375
SGP,2.389511236
SVK,2.757609094
SVN,1.965626564
SLB,5.88585897
ZAF,4.361152465
SSD,91.44082208
ESP,2.774178265
LKA,-0.429360049
KNA,3.557112308
LCA,-0.110283576
VCT,3.627707369
SUR,16.22961591
SWE,2.835816582
CHE,1.06234042
TZA,3.056946763
THA,1.365805408
TLS,2.06284153
TGO,2.870214053
TON,3.183646113
TTO,0.526884626
TUN,7.206616572
TUR,58.50645073
UGA,3.323380671
UKR,6.501984647
ARE,1.663365102
GBR,3.271572946
USA,2.949525205
URY,4.849143666
UZB,9.62825466
VUT,11.18250171
VNM,3.621092739
PSE,53.66914583
ZMB,14.98562627
