country code,PPP
AFG,0.187924599
ALB,0.426244495
DZA,0.320814243
AND,0.657913251
AGO,0.254204084
ATG,0.706075246
ARG,0.459252952
ARM,0.372454908
ABW,0.755766012
AUS,0.904685699
AUT,0.793561312
AZE,0.290320463
BHS,0.95770486
BHR,0.447072989
BGD,0.268837768
BRB,1.118818569
BLR,0.251970635
BEL,0.775789707
BLZ,0.558523951
BEN,0.334955165
BMU,1.160512875
BTN,0.236213735
BOL,0.357576487
BIH,0.407689791
BWA,0.374680719
BRA,0.460310991
BRN,0.371280089
BGR,0.423802777
BFA,0.340903828
BDI,0.162060022
CPV,0.468208126
KHM,0.329724164
CMR,0.315187246
CAN,0.829209407
CYM,1.127585649
CAF,0.408493388
TCD,0.343049345
CHL,0.482427261
CHN,0.490802871
COL,0.368184936
COM,0.439965447
COD,0.378676702
COG,0.353276552
CRI,0.618276502
CIV,0.354074959
HRV,0.49266799
CUW,0.685702387
CYP,0.631194972
CZE,0.558159712
DNK,0.903633301
DJI,0.449635988
DMA,0.488495034
DOM,0.394887236
ECU,0.434001889
EGY,0.174842797
SLV,0.42066106
GNQ,0.383986582
EST,0.631820116
SWZ,0.33401359
FRO,0.918239509
FJI,0.392234138
FIN,0.829889247
FRA,0.752596458
GAB,0.38209881
GMB,0.263703724
GEO,0.323518331
DEU,0.771785981
GHA,0.299706514
GRC,0.5615996
GRL,0.741990496
GRD,0.588659411
GTM,0.428016664
GIN,0.374969422
GNB,0.315453999
GUY,0.373986056
HTI,0.673048795
HND,0.457711231
HKG,0.71935781
HUN,0.489352641
ISL,1.056800016
IND,0.241660783
IDN,0.299449659
IRN,0.25873087
IRQ,0.419902966
IRL,0.818115113
ISR,0.97281317
ITA,0.661101755
JAM,0.601915527
JPN,0.62834223
JOR,0.426752278
KAZ,0.343158639
KEN,0.333285311
KIR,0.618161279
KOR,0.615309303
XKX,0.392024851
KWT,0.623864887
KGZ,0.302052933
LAO,0.217001577
LVA,0.532692465
LBN,0.276562315
LSO,0.324103457
LBR,0.448974199
LBY,0.452808843
LTU,0.540050488
LUX,0.912080891
MAC,0.56948813
MDG,0.289347742
MWI,0.273399033
MYS,0.306418345
MDV,0.497897053
MLI,0.328281873
MLT,0.628632395
MHL,0.910775487
MRT,0.286437387
MUS,0.382330969
MEX,0.551148061
FSM,0.958535327
MDA,0.4069944
MNG,0.350380993
MNE,0.38752518
MAR,0.387517349
MOZ,0.380822429
MMR,0.226639018
NAM,0.377622804
NRU,0.936833828
NPL,0.252293111
NLD,0.810021071
NZL,0.884804592
NIC,0.326972685
NER,0.358680132
NGA,0.125305767
NOR,0.859233501
OMN,0.485991013
PAK,0.236162653
PLW,0.906896152
PAN,0.461368477
PNG,0.62932461
PRY,0.346372683
PER,0.474787838
PHL,0.337865446
POL,0.49669776
PRT,0.569862493
PRI,0.783263756
QAT,0.604835793
ROU,0.412061435
RUS,0.31408142
RWA,0.269386194
WSM,0.625059158
STP,0.520880433
SAU,0.492076598
SEN,0.341262717
SRB,0.424377044
SYC,0.537291985
SLE,0.24843493
SGP,0.601728627
SXM,0.768514488
SVK,0.55420586
SVN,0.603024466
SLB,0.74826648
SOM,0.397924759
ZAF,0.404552869
ESP,0.620048146
LKA,0.288855983
KNA,0.640639758
LCA,0.514436158
VCT,0.540672397
SDN,0.465033701
SUR,0.336737772
SWE,0.812654661
CHE,1.105002134
SYR,0.182228072
TJK,0.248096046
TZA,0.280929329
THA,0.297274695
TLS,0.282269484
TGO,0.322047386
TON,0.619369593
TUN,0.301037657
TUR,0.352209285
TKM,0.420016201
TCA,0.988206691
TUV,1.031501255
UGA,0.327469858
UKR,0.290530387
ARE,0.633379476
GBR,0.868301814
USA,1.0
URY,0.656449995
UZB,0.266168795
VUT,0.983456464
VNM,0.287894077
PSE,0.593054191
ZMB,0.292400385
ZWE,0.677362052
TTO,0.536205236
